team,table_num,members,description,categories,main_category
Alpha Crew,1,"Phil, Yannie, Katherine","A dynamic AI team that excels in all aspects.","AI, Finance, Research","AI"
Beta Group,2,"Will, Alice, Bob","An innovative Finance team committed to excellence.","Finance, Marketing","Finance"
Gamma Squad,3,"Carol, Phil, Katherine","A super Marketing team with great creative insights.","Marketing, Social Media, Games","Marketing"
Delta Band,4,"Alice, Will, Yannie","A leading Research team pushing the boundaries of technology.","Research, Education, AI","Research"
Echo Posse,5,"Phil, Bob, Carol","An incredible Social Media team with a knack for engagement.","Social Media, Marketing","Social Media"
Foxtrot Assembly,6,"Will, Alice, John","A fantastic Healthcare team improving patient care.","Healthcare, Research","Healthcare"
Kerby Team,7,"Katherine, Yannie, Bob","A dynamic Business/Office team optimizing workflow efficiency.","Business/Office, Productivity, Finance","Business/Office"
Refresh Crew,8,"Phil, Carol, Alice","A superb Education team fostering innovative learning solutions.","Education, Research","Education"
Nova Group,9,"Will, Katherine, John","An exceptional Games development team crafting engaging experiences.","Games, Technology, AI","Games"
Zeta Squad,10,"Bob, Yannie, Alice","A leading Security team ensuring top-notch safety protocols.","Security, Technology","Security"
Alpha Band,11,"Phil, Carol, Will","A skilled Productivity team streamlining corporate operations.","Productivity, Business/Office","Productivity"
Beta Posse,12,"Katherine, John, Yannie","A passionate XR team creating immersive experiences.","XR, Technology, Games","XR"
Gamma Assembly 13,13,"Alice, Bob, Carol","A dedicated Healthcare team driven by innovation and care.","Healthcare, Wellness","Healthcare"
Delta Team 14,14,"Will, Phil, Katherine","A forward-thinking AI research team pioneering new technologies.","AI, Research, Technology","AI"
Echo Crew 15,15,"Yannie, Alice, John","A creative Marketing team excelling in digital campaigns.","Marketing, Social Media","Marketing"
Foxtrot Group 16,16,"Bob, Carol, Will","An innovative Education team dedicated to lifelong learning.","Education, Research, Technology","Education"
Kerby Squad 17,17,"Katherine, Phil, Alice","A leading Finance team with groundbreaking financial solutions.","Finance, Business/Office","Finance"
Refresh Band 18,18,"John, Will, Yannie","A progressive Research team exploring new frontiers.","Research, Science, Technology","Research"
Nova Posse 19,19,"Carol, Bob, Phil","A powerful Games development team with a focus on mobile gaming.","Games, Technology","Games"
Zeta Assembly 20,20,"Alice, Katherine, Will","A robust Security team protecting digital assets.","Security, Technology","Security"
Alpha Team 21,21,"Phil, John, Carol","A dynamic Social Media team enhancing online presence.","Social Media, Marketing","Social Media"
Beta Crew 22,22,"Yannie, Bob, Alice","A pioneering XR team at the forefront of virtual reality.","XR, Technology","XR"
Gamma Group 23,23,"Will, Phil, Katherine","A compassionate Healthcare team focused on patient-centered care.","Healthcare, Wellness","Healthcare"
Delta Squad 24,24,"Carol, Yannie, John","A resourceful Productivity team improving business processes.","Productivity, Business","Productivity"
Echo Band 25,25,"Alice, Will, Bob","A dedicated Research team in the field of environmental science.","Research, Environment","Research"
Foxtrot Crew 26,26,"Katherine, Phil, Carol","A versatile Education team integrating technology in classrooms.","Education, Technology","Education"
Kerby Group 27,27,"John, Yannie, Will","A strategic Finance team specializing in corporate finance.","Finance, Business","Finance"
Refresh Squad 28,28,"Bob, Alice, Phil","An expert Games development team focused on console gaming.","Games, Technology","Games"
Nova Band 29,29,"Carol, Katherine, John","A security-conscious team developing cybersecurity solutions.","Security, Technology","Security"
Zeta Posse 30,30,"Will, Yannie, Alice","A creative Marketing team pioneering new advertising techniques.","Marketing, Advertising","Marketing"
Alpha Assembly 31,31,"Phil, Bob, Carol","A high-impact Social Media team mastering viral content.","Social Media, Marketing","Social Media"
Beta Team 32,32,"Katherine, John, Will","A futuristic XR team pushing the boundaries of augmented reality.","XR, Technology","XR"
Gamma Crew 33,33,"Alice, Carol, Phil","A caring Healthcare team focused on holistic approaches.","Healthcare, Wellness","Healthcare"
Delta Group 34,34,"Yannie, Bob, Katherine","A meticulous Research team investigating genetic engineering.","Research, Science","Research"
Echo Squad 35,35,"Will, Alice, John","A dynamic Productivity team leveraging new software tools.","Productivity, Technology","Productivity"
Foxtrot Band 36,36,"Carol, Phil, Yannie","An insightful Education team shaping future educational trends.","Education, Future","Education"
Kerby Crew 37,37,"Bob, Katherine, Will","A proficient Finance team optimizing investment strategies.","Finance, Investment","Finance"
Refresh Group 38,38,"John, Alice, Carol","A creative Games development team focusing on narrative-driven games.","Games, Narrative","Games"
Nova Squad 39,39,"Phil, Yannie, Bob","A security-focused team enhancing network security measures.","Security, Network","Security"
Zeta Team 40,40,"Alice, Will, Katherine","A revolutionary Marketing team transforming consumer interaction.","Marketing, Consumer Behavior","Marketing"
